rep,L,ell,regularization,xcv_score,Raw_zRMSE_mean,Raw_zRMSE_sd,L2_zRMSE_mean,L2_zRMSE_sd,RKHS_zRMSE_mean,RKHS_zRMSE_sd
0,1,0.32421560600991084,0.01,-0.9361909979289847,0.9139270580915362,0.29822289822452946,0.8844244806875498,0.2845025785955948,0.9247523959001475,0.395412147289803
0,2,0.32421560600991084,0.01,-0.9361909979289847,0.6986217943153342,0.27211265141735536,0.6282280592475495,0.2586585124353697,0.8314255658465439,0.3368185531382416
0,3,0.32421560600991084,0.01,-0.9361909979289847,0.5737564835715001,0.19117127057486882,0.47812589907981656,0.2035264324539178,0.7448798847745058,0.30390006347028203
0,4,0.32421560600991084,0.01,-0.9361909979289847,0.5038500664281252,0.10499330984009594,0.3671788634666878,0.1064897809337737,0.5504950672954044,0.21258270827373413
0,5,0.32421560600991084,0.01,-0.9361909979289847,0.49002285817799635,0.1132617149300267,0.3254518012374385,0.0941938972707539,0.43550848568316486,0.15516509696474753
1,1,0.32421560600991084,0.01,-0.9726266250612075,0.9593926879168506,0.28675020058616146,0.9165992873016972,0.323905574862938,1.0218526301680313,0.33826027548488774
1,2,0.32421560600991084,0.01,-0.9726266250612075,0.7433242286012557,0.21928744013698168,0.6772518968917128,0.26418840734987303,0.7997611548386268,0.30580701545864697
1,3,0.32421560600991084,0.01,-0.9726266250612075,0.5867605269426178,0.17121359742151565,0.4871315665260836,0.20517714309593588,0.7075195260215174,0.3444406356618036
1,4,0.32421560600991084,0.01,-0.9726266250612075,0.5218543448208641,0.13133376243856149,0.39080579614769767,0.16032026688238588,0.48278502012928876,0.234246424165687
1,5,0.32421560600991084,0.01,-0.9726266250612075,0.49198642697695455,0.11414362439578447,0.3323578609971164,0.12514106086727148,0.3481449540114178,0.13658040092402135
2,1,0.20456621780704987,0.01,-0.9867269239033946,0.9754452173501361,0.2746357417028434,0.906683011391221,0.2918783937639887,1.0028751877952395,0.26774482276191386
2,2,0.20456621780704987,0.01,-0.9867269239033946,0.7398602291767457,0.20600827694522392,0.6990715142259893,0.21679468287158227,0.8204452845354437,0.2878490540146726
2,3,0.20456621780704987,0.01,-0.9867269239033946,0.5918445858519357,0.18105125127969135,0.5286055198982978,0.2085733860727026,0.7020814196837516,0.27351903098916613
2,4,0.20456621780704987,0.01,-0.9867269239033946,0.48579979133409557,0.12648010417689548,0.3950695420502174,0.16779161762399045,0.44941883867711263,0.18630843031968003
2,5,0.20456621780704987,0.01,-0.9867269239033946,0.4859126676920926,0.09922690753227391,0.3508582668925674,0.10717994732676255,0.4107160304054662,0.13306804846546147
3,1,0.32421560600991084,0.01,-0.9288300232201187,0.9516136928394823,0.2196829653716585,0.9145577817688857,0.26303089475540975,1.0800839699446718,0.2982374869695826
3,2,0.32421560600991084,0.01,-0.9288300232201187,0.7477305430975197,0.24540299331014223,0.7035406648728245,0.2900491983868739,0.8153518297638496,0.2805662178216901
3,3,0.32421560600991084,0.01,-0.9288300232201187,0.5905291633879964,0.19881012161431566,0.5129480000426371,0.23819055194630592,0.6605504566027266,0.3263272029409131
3,4,0.32421560600991084,0.01,-0.9288300232201187,0.46534395800616507,0.10273094942808515,0.37240162839620555,0.1095584484350891,0.5255273224237943,0.2749388569957176
3,5,0.32421560600991084,0.01,-0.9288300232201187,0.48929592132511396,0.11706810466025118,0.30973585028298734,0.08319888342785045,0.3113944400215239,0.08338869446970792
4,1,0.32421560600991084,0.01,-0.8912060593305277,0.9402498489093312,0.3187282974065957,0.8759104740883633,0.3727525350353883,1.025621690349041,0.24368327230638162
4,2,0.32421560600991084,0.01,-0.8912060593305277,0.7341043746093212,0.24199192488367952,0.6404302013563145,0.2725244978519882,0.8787496089048187,0.2649778440077933
4,3,0.32421560600991084,0.01,-0.8912060593305277,0.49967828456003915,0.1369269161070888,0.396453726164758,0.1731183765306505,0.6533152195404033,0.30904852556327966
4,4,0.32421560600991084,0.01,-0.8912060593305277,0.4443596416188821,0.09985284497279395,0.3192018387517451,0.11460234988813497,0.36000659589779554,0.12628652604835935
4,5,0.32421560600991084,0.01,-0.8912060593305277,0.4277693010703117,0.09109545881161281,0.276109102429731,0.09791618144726148,0.2831271155072708,0.10431959997654507
5,1,0.32421560600991084,0.01,-0.9523940826845111,0.8860308810239562,0.2869571478307394,0.8616540652315173,0.30853675314336804,0.9912465839024668,0.37177395197657115
5,2,0.32421560600991084,0.01,-0.9523940826845111,0.6593620944982841,0.26767747329831065,0.6139359712566261,0.25109021544056437,0.8091206780810685,0.33043414976937024
5,3,0.32421560600991084,0.01,-0.9523940826845111,0.546731501474848,0.2155141660891682,0.4873060509041511,0.21533334795764472,0.684475031619348,0.2428299715941389
5,4,0.32421560600991084,0.01,-0.9523940826845111,0.5372583933235738,0.15063067465719665,0.39919635769737444,0.18193755351811347,0.492535005606283,0.1886250003186699
5,5,0.32421560600991084,0.01,-0.9523940826845111,0.48514489865389987,0.1270480828001947,0.33740510250190253,0.08951392923509711,0.4290736399810172,0.18167181898716753
6,1,0.32421560600991084,0.01,-0.9442797572630798,0.964242480942945,0.3061844851302935,0.9339482357656794,0.344654059730903,0.9476904615496158,0.2745105384196835
6,2,0.32421560600991084,0.01,-0.9442797572630798,0.7286404919180007,0.30885687165991493,0.6793920252948314,0.3403326685326209,0.8274726027461425,0.27217722290413093
6,3,0.32421560600991084,0.01,-0.9442797572630798,0.5699670759238213,0.19461304164653395,0.48770122124873566,0.2211418596866451,0.6973952900611967,0.26453378193531685
6,4,0.32421560600991084,0.01,-0.9442797572630798,0.5374722684881104,0.12485020036200585,0.4076085814857286,0.14194769743090366,0.4553913882628471,0.2127757427478406
6,5,0.32421560600991084,0.01,-0.9442797572630798,0.5156095815378422,0.10176235781039776,0.3293731051870189,0.10061914603852253,0.34931911104058244,0.1014723033264092
7,1,0.32421560600991084,0.01,-0.8942831888872549,0.9473464353355667,0.3093237827254754,0.8797859674069767,0.34701415367937555,0.9749435740707063,0.35762211622445506
7,2,0.32421560600991084,0.01,-0.8942831888872549,0.7366864438761296,0.277500014688159,0.6831472796095297,0.3551807395212548,0.8472175273951661,0.38973592843293187
7,3,0.32421560600991084,0.01,-0.8942831888872549,0.5582741346866295,0.18638008817564392,0.4796505205604647,0.20157481469572636,0.6941174824863551,0.32667322039012886
7,4,0.32421560600991084,0.01,-0.8942831888872549,0.5013981265984213,0.10895466513486157,0.39068475478842707,0.13255768650166677,0.5115601218259507,0.3149486391047393
7,5,0.32421560600991084,0.01,-0.8942831888872549,0.502976673878711,0.09035263845667703,0.3355629575296081,0.09226583896871364,0.34515596916814945,0.1131099005396903
8,1,0.32421560600991084,0.01,-0.9501804639199604,0.9873593111735226,0.3331147439364304,0.9094757653098244,0.31839470496265904,0.9365973523535942,0.32179685647176665
8,2,0.32421560600991084,0.01,-0.9501804639199604,0.7774719068961985,0.26399544676834863,0.7252654512851258,0.3148467599396181,0.7855673438136841,0.35609548093181176
8,3,0.32421560600991084,0.01,-0.9501804639199604,0.5699453509091331,0.1628810791416154,0.4752576434136598,0.18492488726699347,0.6725381190313423,0.3496306926017821
8,4,0.32421560600991084,0.01,-0.9501804639199604,0.4952586551741621,0.12527382437695542,0.3722224499148974,0.13826601908606378,0.5698882268018725,0.23107177993768654
8,5,0.32421560600991084,0.01,-0.9501804639199604,0.4889479612556135,0.11822432850204431,0.32070078586428796,0.099722348551851,0.4076404402542992,0.17089189122873033
9,1,0.32421560600991084,0.01,-0.9581531909497968,0.9148076162519999,0.326302743391336,0.870003551501716,0.336629099103611,1.0591136520880218,0.290913036454818
9,2,0.32421560600991084,0.01,-0.9581531909497968,0.7270992000330501,0.22437967036095666,0.6454825526505046,0.23487523457070783,0.8560096462383221,0.31904419208098544
9,3,0.32421560600991084,0.01,-0.9581531909497968,0.6045168722446986,0.18134782638325872,0.49134662919896904,0.21488447638208216,0.6353234717318503,0.2920859394563239
9,4,0.32421560600991084,0.01,-0.9581531909497968,0.5289043816630664,0.11786828196290569,0.37721045980086293,0.1464688002605457,0.5142316468975646,0.18174351428315574
9,5,0.32421560600991084,0.01,-0.9581531909497968,0.5121546626393604,0.09944209124480793,0.3084998123917238,0.090035643704913,0.40031573982593943,0.18584216678056736
10,1,0.32421560600991084,0.01,-0.9247725773662667,0.9555332630210805,0.2527703203844239,0.9389067278063729,0.27968516950321476,1.1453132796958714,0.2567513130989707
10,2,0.32421560600991084,0.01,-0.9247725773662667,0.6713990878738816,0.24041359461253198,0.626672653130277,0.274305947949233,0.8725753233861031,0.33110489432772816
10,3,0.32421560600991084,0.01,-0.9247725773662667,0.5696227160530694,0.21039701349252637,0.5050902087606797,0.1861123488051026,0.5771220212390662,0.2943431182972337
10,4,0.32421560600991084,0.01,-0.9247725773662667,0.4577578673213897,0.09088581594357863,0.36062370219491674,0.1211620876948132,0.4616018043265646,0.19073033189090585
10,5,0.32421560600991084,0.01,-0.9247725773662667,0.45220161524820995,0.0860990153412668,0.31343367963908364,0.1096136623222494,0.34408452555342994,0.1373102227147331
11,1,0.32421560600991084,0.01,-0.9510680033627277,0.9581448107101962,0.29417950789400604,0.9317710557453552,0.31666130549422594,1.1479741129589378,0.2895040774370815
11,2,0.32421560600991084,0.01,-0.9510680033627277,0.7107226799782932,0.256034776589293,0.6513439012390777,0.28201374519203765,0.92131643019912,0.3877890915145289
11,3,0.32421560600991084,0.01,-0.9510680033627277,0.5452600926857306,0.11751946049559162,0.46099836307408515,0.13693064487429965,0.768770110229271,0.3321343442241843
11,4,0.32421560600991084,0.01,-0.9510680033627277,0.5109948977816152,0.10203471844219261,0.38356591157090153,0.12279856949646838,0.5427360046023948,0.20286413316786508
11,5,0.32421560600991084,0.01,-0.9510680033627277,0.5031463068472445,0.10718942322430733,0.3337755101012824,0.11697703894315517,0.40235385417832636,0.1550463575446099
12,1,0.32421560600991084,0.01,-0.9573433393950908,0.8623059549628224,0.33737450487195414,0.8456083296194578,0.346684059181914,0.9259238895467921,0.4118360212727911
12,2,0.32421560600991084,0.01,-0.9573433393950908,0.6687178221635375,0.2545820280820664,0.624026779493501,0.26775621746749645,0.8254800003142994,0.40023099964425735
12,3,0.32421560600991084,0.01,-0.9573433393950908,0.5556913902900226,0.17047373903241,0.48802949990681854,0.2176563592019774,0.674019509541948,0.2991919324740242
12,4,0.32421560600991084,0.01,-0.9573433393950908,0.48080972298952346,0.14491145491834423,0.40021741165282393,0.15262321806612497,0.6219545789751935,0.30288235617822984
