N_obs,SNR,L,target,metric,rkhs_advantage,ci_low,ci_high
50,0.5,1,OracleRKHS,function_mean_cos2,0.18405675417520165,0.15575030036757867,0.21236320798282463
50,0.5,1,OracleL2,function_mean_cos2,0.05884267199498743,0.02166560331597142,0.09601974067400344
50,0.5,2,OracleRKHS,function_mean_cos2,0.08490629817139517,0.07034684385635166,0.09946575248643867
50,0.5,2,OracleL2,function_mean_cos2,-0.018935199436747232,-0.036675795862134736,-0.001194603011359728
50,0.5,3,OracleRKHS,function_mean_cos2,0.04585422762560966,0.032214356644111444,0.05949409860710787
50,0.5,3,OracleL2,function_mean_cos2,-0.001326920869985051,-0.014783467872762107,0.012129626132792004
50,1.0,1,OracleRKHS,function_mean_cos2,0.30999404805779024,0.27070632139402656,0.3492817747215539
50,1.0,1,OracleL2,function_mean_cos2,-0.18186192915015792,-0.22354287300111175,-0.1401809852992041
50,1.0,2,OracleRKHS,function_mean_cos2,0.16287323499977652,0.14414357866269417,0.18160289133685886
50,1.0,2,OracleL2,function_mean_cos2,-0.13840894787735172,-0.1587260116908801,-0.11809188406382334
50,1.0,3,OracleRKHS,function_mean_cos2,0.054154656464188475,0.041141784528062365,0.06716752840031458
50,1.0,3,OracleL2,function_mean_cos2,-0.05054009232617504,-0.06483777454028906,-0.036242410112061016
50,2.0,1,OracleRKHS,function_mean_cos2,0.2379297326105594,0.20011627010495608,0.27574319511616274
50,2.0,1,OracleL2,function_mean_cos2,-0.27913194332945396,-0.3199719464815592,-0.23829194017734873
50,2.0,2,OracleRKHS,function_mean_cos2,0.08149948544429027,0.058517353464889836,0.10448161742369069
50,2.0,2,OracleL2,function_mean_cos2,-0.20025571814893722,-0.22304732540770725,-0.1774641108901672
50,2.0,3,OracleRKHS,function_mean_cos2,-0.08615922732634566,-0.10173948555222852,-0.07057896910046281
50,2.0,3,OracleL2,function_mean_cos2,-0.10839735861062597,-0.1233605263402093,-0.09343419088104263
