N_obs,SNR,L,rep,oracle_l2_to_rkhs_mean_cos2
15,0.5,3,50,0.9971081170868449
15,0.5,1,51,0.5543319617359522
15,0.5,2,51,0.8535459805632927
15,0.5,3,51,0.7242404283325086
15,0.5,1,52,0.8848796036867604
15,0.5,2,52,0.6599521541778309
15,0.5,3,52,0.6859181589638227
15,0.5,1,53,0.9394854264808792
15,0.5,2,53,0.8972307857648103
15,0.5,3,53,0.6674648269705131
15,0.5,1,54,0.8004745480316133
15,0.5,2,54,0.6496779931349214
15,0.5,3,54,0.9807141167981787
15,0.5,1,55,0.9101545732463107
15,0.5,2,55,0.9740145256532419
15,0.5,3,55,0.7347776256586768
15,0.5,1,56,0.8899941537892686
15,0.5,2,56,0.9377283498468056
15,0.5,3,56,0.7922895136635564
15,0.5,1,57,0.7056632910314192
15,0.5,2,57,0.6210675865350537
15,0.5,3,57,0.9706139174782233
15,0.5,1,58,0.8082806666261838
15,0.5,2,58,0.885274830973773
15,0.5,3,58,0.8672034317719595
15,0.5,1,59,0.6917765561976363
15,0.5,2,59,0.740324686685929
15,0.5,3,59,0.9539205895280922
15,0.5,1,60,0.2503259907705471
15,0.5,2,60,0.9605263549015126
15,0.5,3,60,0.7474034468609198
15,0.5,1,61,0.9513923589533364
15,0.5,2,61,0.897910201727697
15,0.5,3,61,0.9356546249553027
15,0.5,1,62,0.8464820866428914
15,0.5,2,62,0.9000639360536834
15,0.5,3,62,0.9325348069106072
15,0.5,1,63,0.6826876199560047
15,0.5,2,63,0.6153819390392999
15,0.5,3,63,0.991267809869382
15,0.5,1,64,0.7298473194207283
15,0.5,2,64,0.9345704214067742
15,0.5,3,64,0.8830903112117737
15,0.5,1,65,0.7615765321547168
15,0.5,2,65,0.8893733697075573
15,0.5,3,65,0.9875223571659201
15,0.5,1,66,0.03947248835307597
15,0.5,2,66,0.7491815591736333
15,0.5,3,66,0.9089286904516514
15,0.5,1,67,0.7121679292140501
15,0.5,2,67,0.9556419120306578
15,0.5,3,67,0.9241073946031316
15,0.5,1,68,0.5960103094362201
15,0.5,2,68,0.8742950363629924
15,0.5,3,68,0.901976855127922
15,0.5,1,69,0.7932059189463995
15,0.5,2,69,0.9201234846925866
15,0.5,3,69,0.9813456972779241
15,0.5,1,70,0.8876528307108343
15,0.5,2,70,0.9632968121435664
15,0.5,3,70,0.7735545968553862
15,0.5,1,71,0.8532813224425693
15,0.5,2,71,0.8701138197665319
15,0.5,3,71,0.9484409010076055
15,0.5,1,72,0.9219950123170435
15,0.5,2,72,0.9448331124869105
