L,n_reps,mean,ci_low,ci_high
1,1800,0.6710380746993577,0.6577031049427173,0.6843730444559981
2,1800,0.8107467347075438,0.8039540897397606,0.817539379675327
3,1800,0.8813005008279073,0.8764773802875326,0.886123621368282
