standardization,length,beta,mean_rmse,participant_1_rmse,participant_2_rmse,participant_3_rmse,participant_4_rmse,participant_5_rmse,participant_6_rmse,participant_7_rmse,participant_8_rmse,participant_9_rmse,participant_10_rmse,participant_11_rmse,participant_12_rmse,participant_13_rmse,participant_14_rmse,participant_15_rmse,participant_16_rmse,participant_17_rmse,participant_18_rmse,participant_19_rmse,participant_20_rmse,rank_within_scheme
participant_full,0.28183829312644537,0.005023772863019165,0.8178077392500717,1.0061198346605231,0.946686881153991,0.7601341072279055,0.7939220152289395,0.71212533148505,0.6234206526416769,0.99085545197958,1.0847669915938711,0.7055936563710786,0.7895795546450116,0.6473240728998158,0.8878659648503604,0.8046516779815122,0.6770348263701638,0.5417661261213688,0.9350640674638724,0.9814102561032346,0.8856658686510912,0.8359801118089658,0.7461873357634204,1
participant_full,0.251188643150958,0.007962143411069949,0.8208017530277424,0.9865114030212837,0.9211859353008064,0.7708438593381068,0.8321415884991847,0.7053890062237592,0.6517987771540396,0.9914163576717027,1.0059670859496008,0.6834117359712419,0.8173165527484627,0.6897339305708629,0.8665747941935994,0.7803467632699712,0.6993540369687546,0.5775275904727255,0.9611890557627276,0.9609573532316465,0.8769182065450121,0.8755871600428327,0.7618638676185248,2
participant_full,0.31622776601683794,0.005023772863019165,0.8211341842813115,1.0632102256042546,0.9508538366104048,0.743955742801306,0.6825631067133481,0.7058965658872427,0.6210107133224849,0.9329712631665918,1.1655317952494484,0.7142780044604343,0.7977768667896202,0.6320581129964606,0.9028527488625295,0.8085453404588163,0.6704101372272901,0.5342306115410982,0.9951911931603513,1.01356408134403,0.873547822430849,0.8528944538405467,0.7613410631591198,3
participant_full,0.28183829312644537,0.007962143411069949,0.8215642044149785,1.0141300752133031,0.9288637660000146,0.7571832040810637,0.7448309244532424,0.6976922982900325,0.6440501895707109,0.96684310045299,1.0778596391412334,0.6986616345345784,0.8255029332391934,0.6723224369323257,0.8816043784551504,0.7832346445756402,0.6855472291274503,0.5624898192343573,0.9987377812507383,0.9798568548204616,0.8693682011576149,0.8787483162896557,0.7637566614798145,4
participant_full,0.31622776601683794,0.0031697863849222286,0.8216560006515212,1.0475692511013925,0.9708762931477951,0.7505864962147208,0.71993985293251,0.7315015085463017,0.6089912406172868,0.9539709934212312,1.208784875841425,0.735674909953825,0.7750582257305416,0.6006426280355462,0.9210126553941393,0.8346606549658582,0.6685164450737127,0.5206384659414582,0.9152655246918201,1.0156001186736079,0.8994547701204609,0.8128614670111975,0.741513635615594,5
participant_full,0.251188643150958,0.005023772863019165,0.8249793229756793,1.0002307236213053,0.9412500814762044,0.784935633349223,0.9055135524036173,0.7711991106378324,0.6234438443226452,1.0189603279698152,0.99511703492043,0.6754506318265483,0.7840927794317368,0.6822214812366226,0.8640305142282252,0.8142774990339527,0.6938600672209401,0.5640525072086332,0.9227888970195304,0.9675364318463195,0.8905116155115508,0.8472911685527016,0.7528225576957525,6
participant_full,0.28183829312644537,0.0031697863849222286,0.8266440160040727,1.012726589732035,0.968565391980875,0.7810137347813064,0.8662257926967204,0.7790305748110397,0.5972726446351085,1.0295142105742499,1.1000130320855592,0.7042848427689472,0.7802025715266302,0.6351410290736769,0.8874821177451224,0.8435307721685688,0.6798549299036117,0.5340746279957872,0.8909989463447999,0.9888020586832992,0.9091760663933265,0.8071899763087067,0.7377804098720822,7
participant_full,0.223872113856834,0.007962143411069949,0.8275651728005309,0.9896092680142063,0.9154111301012934,0.7911634985112506,0.8929804353249094,0.7470267715347126,0.6666123323511178,0.9895342526105544,0.9402183456656349,0.6656449390875269,0.8121847356528236,0.7134184427564076,0.8518502620306322,0.7822503160066492,0.7226698806672512,0.6093619365785092,0.9554655508383068,0.9580463330886687,0.8783194527079831,0.8934823578697435,0.776053214612436,8
participant_full,0.251188643150958,0.012619146889603867,0.8280305436062465,0.9881883821845483,0.9058781059018838,0.7762922865803918,0.7811400901399784,0.7017968329970974,0.6769049579817992,0.9746762873979865,1.0238988698464895,0.6861283463980488,0.8563834718458405,0.7085565855828634,0.8651925897339658,0.7676391205818751,0.7137344688537117,0.6007383186638241,1.0135447929516512,0.9627624128759324,0.8693949079607476,0.9094798982035671,0.7782801454427248,9
participant_full,0.35481338923357547,0.0031697863849222286,0.8281777945935218,1.1401445215569024,0.967723428281495,0.7336186389232127,0.6087535528075297,0.7257410651051732,0.6017669225770895,0.8727505951841585,1.2759647440000694,0.7238288095331683,0.7792417405927023,0.6002220141623915,0.9254869968358299,0.8406915929433886,0.6681417933094208,0.5201731488780007,1.0143249580579257,1.061810251993049,0.8813918665565126,0.8483796192704492,0.7733996313019684,10
participant_full,0.223872113856834,0.012619146889603867,0.8298589338582415,0.9761834204724039,0.8981272408837819,0.791027981973499,0.8327688788546025,0.7114798336773092,0.6938152396658088,0.9773890191354371,0.9686054131468269,0.6755672094665434,0.8515637266229594,0.7222716714055808,0.853076172855971,0.7649637855929667,0.7342935005002842,0.6275289982463215,0.9904079325141039,0.9545836956275172,0.8741541485579063,0.9131798573276699,0.7861909506373346,11
participant_full,0.31622776601683794,0.007962143411069949,0.830258396171718,1.0762635796755977,0.9362264423262652,0.7450166914499068,0.6626036430719846,0.6981665522755928,0.629989467978827,0.9385076202203646,1.1361988651914652,0.6905314741726246,0.8414615153022925,0.6726058983309666,0.8831414521279083,0.7910540298241348,0.6796780201744907,0.5624025550939699,1.0875450566045872,1.0212704593346822,0.8583511989404211,0.9085322025840833,0.7856211987541968,12
participant_full,0.28183829312644537,0.012619146889603867,0.8330146198536769,1.026013674795101,0.9153355428451393,0.7648122453756517,0.7163126241301091,0.7010128624575005,0.6616252292568146,0.9640777900236482,1.0805032607715777,0.6884979578354923,0.8666364980062398,0.7042370496681853,0.8721326379162692,0.7741235299940941,0.7013027935922858,0.5912427510179478,1.0720323709792585,0.9887754367188274,0.861587830494061,0.9252312210488055,0.7847990901465307,13
participant_full,0.35481338923357547,0.005023772863019165,0.8334022792866527,1.1446439711159104,0.9545541412072127,0.7302340048580633,0.5987415446107356,0.7063112426258337,0.6004143531429451,0.897576962470622,1.2050886085266779,0.6847016390723604,0.8214799806783363,0.6429188043753967,0.8909037730284842,0.8135131730957514,0.6698546337404816,0.5406118451212676,1.1290369784523864,1.074730514859135,0.8577795080288364,0.9019477751028646,0.8030021316197526,14
