rank,length,noise_level,mean_standardized_rmse,participant_1_standardized_rmse,participant_2_standardized_rmse,participant_3_standardized_rmse,participant_4_standardized_rmse,participant_5_standardized_rmse,participant_6_standardized_rmse,participant_7_standardized_rmse,participant_8_standardized_rmse,participant_9_standardized_rmse,participant_10_standardized_rmse,participant_11_standardized_rmse,participant_12_standardized_rmse,participant_13_standardized_rmse,participant_14_standardized_rmse,participant_15_standardized_rmse,participant_16_standardized_rmse,participant_17_standardized_rmse,participant_18_standardized_rmse,participant_19_standardized_rmse,participant_20_standardized_rmse
9,0.3981071705534973,0.3981071705534973,1.0975955301873532,1.4127133822406275,1.1182760752353285,1.1516562981554812,1.0086778846539095,0.9529241772756016,0.8368461163046865,1.012700064013573,1.3525134728335273,0.942833648523521,1.199630636005352,1.1554563698660807,1.3297051361347472,1.0016141947754638,1.1631739460190627,0.8432074201516453,0.9917862727448226,0.9417740122853383,1.4263507890236042,1.1086419622560004,1.0014287452486876
10,0.3981071705534973,0.6309573444801934,1.0977573194759256,1.4039611803731116,1.173639558008444,1.1519903625859398,1.0072642587986451,0.9540238537299606,0.7991978161768074,1.0110270014422285,1.4083412309266634,0.9388358848543022,1.2046206303282347,1.1512057839627865,1.2976360470110035,0.9562610549868547,1.1641080426216288,0.8463959914207134,1.0389529647870457,0.946303114946736,1.3920925595139,1.1130629318777454,0.9962261211657593
11,0.6309573444801934,0.015848931924611134,1.0979813575907655,1.4452697198912687,1.2813297859626935,1.1639114406910278,0.7693802000433936,0.957645414262223,0.727253620235989,0.9615350227775442,1.4505912020878844,0.8175799557747684,1.2252614455918054,1.125382672133629,1.1878520755962696,1.1496068932222008,1.0562201259861288,0.8507001771768901,1.2955662311462404,1.176566131468369,1.2219196818751634,1.1497703152918606,0.9462850405999591
12,0.6309573444801934,0.025118864315095794,1.098226596880104,1.4645624202205059,1.3003390744698118,1.1652915062795337,0.7687434078905484,0.8983512272685308,0.72668305618859,0.9675070737801017,1.5287343183142323,0.8384465572690747,1.2236726766508752,1.125902011329433,1.102536448050804,1.1482842555715416,1.035437359501988,0.8531192038680162,1.3891284166272535,1.199495425881164,1.1090107693311826,1.149275865264316,0.9700108638445757
13,0.5623413251903491,0.06309573444801933,1.098720417081843,1.4546870742159217,1.3124907311791179,1.1626950688105675,0.7634003671715718,0.9091414769575955,0.7253590111341518,0.964390735014861,1.527722963629722,0.8417960453727954,1.2195510415094628,1.1306743743192342,1.1199445719541168,1.148399384313229,1.0502254652900007,0.8517822639110191,1.362199465554132,1.1758253643544592,1.1420931572352415,1.1428515001105337,0.9691782795991258
14,0.5623413251903491,0.039810717055349734,1.099002695767773,1.4424911464441164,1.2899046839569452,1.1615634787219384,0.7620129776287581,0.9553876110704638,0.726909975594076,0.9663383581102654,1.4450189927249493,0.8391002820118244,1.2199176384360364,1.1300401948660408,1.2038745726873818,1.1499112613692977,1.0559851277331944,0.8489773555828615,1.2631837511448192,1.1655886600279686,1.2617287976875857,1.142311179663289,0.9498078698936492
15,0.44668359215096315,0.25118864315095807,1.1010011375162538,1.4284720577119399,1.2070079087827879,1.1544812457931712,0.9982661944914121,0.9527961666108838,0.7464938484492196,0.9910908845487019,1.4336069142937542,0.9164807029168305,1.2083203129321192,1.144517051720817,1.2680430247321266,1.114564258013417,1.0819205476408278,0.8465984851756486,1.073578432261849,1.0002807930250919,1.3588510087183923,1.1232510635819772,0.9714018489241102
16,0.707945784384138,0.01,1.1019561674967189,1.4732725621850418,1.291228498644577,1.1666844561010807,0.7798283606113674,0.8912730384608369,0.7286379376973847,0.9939390713673258,1.5309161483045277,0.8386317070405406,1.2266241329619185,1.12237885157786,1.0943382986654788,1.1482754076921242,1.0183855160045105,0.8545489838004133,1.4380303488946242,1.22744942798716,1.0912033975821902,1.1540800279313108,0.969397176424101
17,0.44668359215096315,0.3981071705534973,1.102643358134049,1.4244224260493126,1.1964518458740927,1.154804718262851,1.0069251878639887,0.9418903119664442,0.7377127909623342,0.9905084177844309,1.52002716802141,0.9101954263466844,1.2109932224109725,1.1432802953200818,1.2111160894609228,0.9404851491841072,1.0808910167265275,0.8507333425609056,1.338246172834075,1.0024877671573784,1.3034077812990932,1.1256431662854391,0.9626448663099246
18,0.7943282347242815,1.0,1.1028266959638293,1.41226691083973,1.444110422700699,1.0698609565761898,0.7701292003485035,0.9285524867735514,0.6732240424125969,0.7822369365535424,1.512288429230009,0.8720865527964978,1.2135379309423873,1.1118347953295378,1.0610473067668258,0.9093507109896993,0.8761701316443545,0.9070737923493443,1.7550301754983682,1.7577672072757315,0.907581813598318,1.1266763932834913,0.9657077233672112
19,0.3981071705534973,0.01,1.103430464173564,1.3151543658007938,1.2536632348818242,1.089464271151504,1.152901606824426,0.9493537631034936,0.7196670425489329,1.0919520551210502,1.2434664364206869,0.9617923324336528,1.1033201462068638,1.1873131649138344,1.4362970089593432,1.3039997075925456,1.029428903050031,0.8248305829189946,1.0977432854947005,0.9101945779336568,1.2614012981153695,1.0980501369516014,1.0386153630479753
20,0.5623413251903491,0.25118864315095807,1.1034769207612936,1.4710762642708968,1.5201388138973415,1.176976078049181,0.7625121393737999,0.8768315751315645,0.7220369211102455,0.7563441469595351,1.5161653272080824,0.8459325138330662,1.215884174719989,1.1314640496996236,1.0652748521544688,0.9317796039263755,0.9290155228446819,0.8634239623266442,1.7009579627414653,1.3995654086921074,1.0797625142955125,1.1248757408411354,0.9795208431501565
21,0.5011872336272724,0.1,1.1036259736236729,1.4393911059812432,1.2960011871695323,1.1582544063330655,0.833718678968741,0.9533917532363766,0.7302166797037986,0.975856510240418,1.440745860779071,0.8772186069737075,1.2138691941783963,1.1364776382345785,1.2310993706542914,1.1504347488081401,1.058808922616497,0.8473594842123641,1.197699584017851,1.1325364231885269,1.3108589117323393,1.1332152209944242,0.9553651844500994
22,0.5011872336272724,0.06309573444801933,1.1063185218653941,1.478368931635391,1.2859276750223274,1.1582698936842257,0.7973947329768872,0.9596820553151518,0.7377782840762411,0.9794777933263903,1.3780752722509313,0.9195297866376718,1.2119409530987526,1.1360799947253344,1.2813301191189357,1.152185684519345,1.0580213056039047,0.8444337245125547,1.1089820389642433,1.1309257951661074,1.4012931455728377,1.131007920862991,0.9756653302376614
